,Month,Code,Code_Description,Amount
0,1,B,Basics,35.43
1,1,D,Dining,74.33
2,1,F,Food,116.86
3,1,H,Home,408.29
4,1,T,Travel,342.04
5,2,B,Basics,30.67
6,2,D,Dining,2.65
7,2,E,Entertainment,4.0
8,2,F,Food,123.06
9,2,H,Home,400.0
10,2,T,Travel,314.21
11,3,B,Basics,59.0
12,3,D,Dining,152.25
13,3,F,Food,110.97
14,3,H,Home,400.0
15,3,T,Travel,3.64
16,4,A,ATM,13.5
17,4,B,Basics,46.72
18,4,D,Dining,52.870000000000005
19,4,F,Food,158.80999999999997
20,4,H,Home,407.75
21,4,T,Travel,6.3
22,5,B,Basics,53.64
23,5,D,Dining,82.03
24,5,F,Food,105.38
25,5,H,Home,400.0
26,5,P,Technology,55.03
27,5,T,Travel,14.11
28,6,A,ATM,-1.31
29,6,B,Basics,95.36000000000001
30,6,D,Dining,16.77
31,6,F,Food,140.21
32,6,H,Home,400.0
33,6,M,Medical,6.12
34,6,P,Technology,35.41
35,6,T,Travel,18.21
36,7,B,Basics,171.06
37,7,D,Dining,40.14
38,7,F,Food,90.78999999999999
39,7,H,Home,458.9
40,7,P,Technology,32.68
41,7,T,Travel,33.32
42,8,B,Basics,100.0
43,8,D,Dining,56.87
44,8,F,Food,166.77
45,8,H,Home,450.0
46,8,T,Travel,8.22
47,8,W,Clothing,272.06
48,9,A,ATM,-0.52
49,9,B,Basics,22.11
50,9,D,Dining,31.740000000000002
51,9,F,Food,160.97
52,9,H,Home,536.06
53,9,T,Travel,238.54
54,10,B,Basics,27.5
55,10,D,Dining,52.93
56,10,E,Entertainment,22.32
57,10,F,Food,144.03
58,10,H,Home,494.69
59,10,T,Travel,76.47
60,11,B,Basics,29.21
61,11,D,Dining,46.2
62,11,F,Food,209.13
63,11,H,Home,450.0
64,11,P,Technology,47.54
65,12,B,Basics,70.92
66,12,D,Dining,80.64999999999999
67,12,E,Entertainment,8.0
68,12,F,Food,233.69999999999996
69,12,H,Home,510.90999999999997
